'1','2021-08-01','24550.00','00145','143'
'2','2021-08-01','24972.00','00218','191'
'3','2021-08-01','5457.40','00049','52'
'4','2021-08-01','24846.30','00130','129'
'5','2021-08-01','24760.00','00179','144'
'6','2021-08-01','24972.00','00228','178'
'7','2021-08-01','24970.00','00200','177'
'8','2021-08-02','24648.70','00105','103'
'9','2021-08-03','5617.40','00059','60'
'10','2021-08-05','24970.00','00199','90'
'11','2021-08-05','24148.70','00101','70'
'12','2021-08-06','5603.50','00032','36'
'13','2021-08-06','25360.00','00175','6'
'14','2021-08-06','25070.00','00195','92'
'15','2021-08-07','5590.00','00009','9'
'16','2021-08-08','23957.00','00079','81'
'17','2021-08-09','5457.40','00050','18'
'18','2021-08-09','24550.00','00148','145'
'19','2021-08-10','5603.50','00026','30'
'20','2021-08-10','24346.30','00129','128'
'21','2021-08-11','23957.00','00082','85'
'22','2021-08-11','23957.00','00076','78'
'23','2021-08-11','24248.70','00102','99'
'24','2021-08-11','23957.00','00073','75'
'25','2021-08-12','24148.70','00100','3'
'26','2021-08-13','24972.00','00225','195'
'27','2021-08-13','25150.00','00156','150'
'28','2021-08-13','25070.00','00194','110'
'29','2021-08-13','24946.30','00124','122'
'30','2021-08-13','24346.30','00125','123'
'31','2021-08-14','24550.00','00149','146'
'32','2021-08-14','5617.40','00058','7'
'33','2021-08-14','24860.00','00169','158'
'34','2021-08-14','5617.40','00054','56'
'35','2021-08-14','25050.00','00146','144'
'36','2021-08-15','5430.00','00001','1'
'37','2021-08-16','25209.50','00219','55'
'38','2021-08-16','25150.00','00153','23'
'39','2021-08-16','24148.70','00104','102'
'40','2021-08-17','5430.00','00003','3'
'41','2021-08-17','24346.30','00126','124'
'42','2021-08-18','5590.00','00006','6'
'43','2021-08-18','5457.40','00052','54'
'44','2021-08-18','24446.30','00131','130'
'45','2021-08-19','24846.30','00122','99'
'46','2021-08-20','24760.00','00180','124'
'47','2021-08-20','25089.00','00217','43'
'48','2021-08-20','24248.70','00107','105'
'49','2021-08-21','5443.50','00036','40'
'50','2021-08-21','24248.70','00103','101'
'51','2021-08-21','24650.00','00147','140'
'52','2021-08-21','5590.00','00008','8'
'53','2021-08-22','5430.00','00012','12'
'54','2021-08-22','24057.00','00084','71'
'55','2021-08-25','5430.00','00002','2'
'56','2021-09-01','5760.00','00131','130'
'57','2021-09-01','5760.00','00107','105'
'58','2021-09-01','5760.00','00125','123'
'59','2021-09-01','5760.00','00103','100'
'60','2021-09-01','2090.00','00054','56'
'61','2021-09-01','2090.00','00058','7'
'62','2021-09-02','5760.00','00129','128'
'63','2021-09-04','5760.00','00105','103'
'64','2021-09-04','5760.00','00200','177'
'65','2021-09-04','5760.00','00175','6'
'66','2021-09-05','5760.00','00146','144'
'67','2021-09-06','6032.00','00218','191'
'68','2021-09-06','2090.00','00006','6'
'69','2021-09-07','2090.00','00049','52'
'70','2021-09-08','2090.00','00026','30'
'71','2021-09-08','2090.00','00008','8'
'72','2021-09-09','5760.00','00195','92'
'73','2021-09-09','2090.00','00012','12'
'74','2021-09-10','6032.00','00228','179'
'75','2021-09-10','5760.00','00084','71'
'76','2021-09-11','2090.00','00052','54'
'77','2021-09-12','5760.00','00076','78'
'78','2021-09-13','24860.00','00170','133'
'79','2021-09-14','5760.00','00147','140'
'80','2021-09-14','5760.00','00124','122'
'81','2021-09-14','6032.00','00225','195'
'82','2021-09-15','5760.00','00145','143'
'83','2021-09-15','2090.00','00001','1'
'84','2021-09-15','5760.00','00148','145'
'85','2021-09-15','5760.00','00100','3'
'86','2021-09-17','5760.00','00194','110'
'87','2021-09-17','5760.00','00179','144'
'88','2021-09-18','2090.00','00002','2'
'89','2021-09-18','5760.00','00199','90'
'90','2021-09-18','5760.00','00169','158'
